,Company,2020 Rating,Total Board,# of women,% of Women,Sector,State,City,Company_clean
876,TRI Pointe Group Inc.,,6,1,17%,Consumer Cyclical,California,IRVINE,tri pointe group
877,TRIBUNE MEDIA CO,,6,1,17%,Consumer Cyclical,Illinois,CHICAGO,tribune media
878,TRICO BANCSHARES /,,11,1,9%,,,CHICO,trico bancshares 
879,TRIMAS CORP,,8,1,13%,,,BLOOMFIELD HILLS,trimas
880,TRIMBLE INC.,,8,2,25%,Technology,California,SUNNYVALE,trimble
881,TRINET GROUP INC,,9,1,11%,Industrials,California,SAN LEANDRO,trinet group
882,TRINITY INDUSTRIES INC,,11,1,9%,Industrials,Texas,DALLAS,trinity industries
883,Trinity Place Holdings Inc.,,6,2,33%,,,NEW YORK,trinity place holdings
884,Trinseo S.A.,,10,1,10%,,,BERWYN,trinseo sa
885,TripAdvisor Inc.,,8,1,13%,Technology,Massachusetts,NEEDHAM,tripadvisor
886,TRIPLE-S MANAGEMENT CORP,,9,1,11%,Financial Services,,SAN JUAN,triples management
887,TriState Capital Holdings Inc.,,12,2,17%,,,PITTSBURGH,tristate capital holdings
888,TRITON INTERNATIONAL LTD,,9,0,0%,,,HAMILTON,triton international
889,Triumph Bancorp Inc.,,12,1,8%,,,DALLAS,triumph bancorp
890,TRIUMPH GROUP INC,,8,1,13%,Industrials,Pennsylvania,BERWYN,triumph group
891,tronc Inc.,,7,1,14%,,,CHICAGO,tronc
892,Tronox Ltd,,9,0,0%,,,STAMFORD,tronox
893,True Value Company,,11,2,18%,Industrials,Illinois,Chicago,true valuempany
894,TrueBlue Inc.,,9,3,33%,Industrials,Washington,TACOMA,trueblue
895,TrueCar Inc.,,9,1,11%,,,SANTA MONICA,truecar
896,TRUPANION INC.,,9,1,11%,,,SEATTLE,trupanion
897,TRUSTCO BANK CORP N Y,,7,0,0%,,,GLENVILLE,trustco bank n y
898,TRUSTMARK CORP,,14,2,14%,,,JACKSON,trustmark
899,TTM TECHNOLOGIES INC,,10,1,10%,Technology,California,COSTA MESA,ttm technologies
900,TUPPERWARE BRANDS CORP,,11,5,45%,Consumer Cyclical,Florida,ORLANDO,tupperware brands
901,Turning Point Brands Inc.,,7,0,0%,,,LOUISVILLE,turning point brands
902,TUTOR PERINI Corp,,12,1,8%,Industrials,California,SYLMAR,tutor perini
903,TWENTY-FIRST CENTURY FOX INC.,,13,1,8%,Consumer Cyclical,New York,NEW YORK,twentyfirst century fox
904,TWIN DISC INC,,8,1,13%,,,RACINE,twin disc
905,TWITTER INC.,,9,3,33%,Technology,California,SAN FRANCISCO,twitter
906,Two Harbors Investment Corp.,,9,2,22%,,,NEW YORK,two harbors investment
907,TYLER TECHNOLOGIES INC,,9,1,11%,,,PLANO,tyler technologies
908,TYSON FOODS INC,,11,3,27%,Consumer Defensive,Arkansas,SPRINGDALE,tyson foods
909,U S PHYSICAL THERAPY INC /NV,,9,0,0%,,,HOUSTON,u s physical therapy nv
910,U.S. SILICA HOLDINGS INC.,,5,0,0%,Basic Materials,Maryland,FREDERICK,us silica holdings
911,Ubiquiti Networks Inc.,,4,0,0%,Technology,California,SAN JOSE,ubiquiti networks
912,UCP Inc.,,6,1,17%,,,SAN JOSE,ucp
913,UDR Inc.,,10,3,30%,Real Estate,Colorado,HIGHLANDS RANCH,udr
914,UFP TECHNOLOGIES INC,,7,2,29%,,,NEWBURYPORT,ufp technologies
915,UGI CORP /PA/,,8,2,25%,Utilities,Pennsylvania,KING OF PRUSSIA,ugi pa
916,Ulta Beauty Inc.,,11,5,45%,Consumer Cyclical,Illinois,BOLINGBROOK,ulta beauty
917,ULTIMATE SOFTWARE GROUP INC,,7,0,0%,Technology,Florida,WESTON,ultimate software group
918,ULTRA CLEAN HOLDINGS INC,,8,2,25%,,,HAYWARD,ultra clean holdings
919,Ultra Petroleum Corporation,,5,0,0%,Energy,Texas,Houston,ultra petroleum
920,Ultragenyx Pharmaceutical Inc.,,8,1,13%,,,NOVATO,ultragenyx pharmaceutical
921,Ultratech Inc.,,7,0,0%,Technology,California,San Jose,ultratech
922,UMB FINANCIAL CORP,,12,1,8%,,,KANSAS CITY,umb financial
923,UMH PROPERTIES INC.,,10,1,10%,,,FREEHOLD,umh properties
924,UMPQUA HOLDINGS CORP,,11,3,27%,,,PORTLAND,umpqua holdings
925,Under Armour Inc.,,10,2,20%,Consumer Cyclical,Maryland,BALTIMORE,under armour
926,UNIFI INC,,8,1,13%,,,GREENSBORO,unifi
927,UNIFIRST CORP,,7,2,29%,Consumer Cyclical,Massachusetts,WILMINGTON,unifirst
928,Union Bankshares Corp,,18,3,17%,Financial Services,Virginia,RICHMOND,union bankshares
929,UNION BANKSHARES INC,,9,1,11%,,,MORRISVILLE,union bankshares
930,UNION PACIFIC CORP,,11,2,18%,Industrials,Nebraska,OMAHA,union pacific
931,UNISYS CORP,,9,2,22%,Technology,Pennsylvania,BLUE BELL,unisys
932,UNIT CORP,,9,1,11%,Energy,Oklahoma,TULSA,unit
933,UNITED BANKSHARES INC/WV,,11,1,9%,,,CHARLESTON,united bankshareswv
934,UNITED COMMUNITY BANKS INC,,10,1,10%,,,BLAIRSVILLE,unitedmmunity banks
935,UNITED COMMUNITY FINANCIAL CORP,,10,1,10%,,,YOUNGSTOWN,unitedmmunity financial
936,United Continental Holdings Inc.,,15,2,13%,Industrials,Illinois,CHICAGO,unitedntinental holdings
937,United Financial Bancorp Inc.,,9,3,33%,,,GLASTONBURY,united financial bancorp
938,UNITED FIRE GROUP INC,,12,4,33%,,,CEDAR RAPIDS,united fire group
939,UNITED INSURANCE HOLDINGS CORP.,,7,0,0%,Financial Services,Florida,ST. PETERSBURG,united insurance holdings
940,UNITED NATURAL FOODS INC,,8,3,38%,Consumer Defensive,Rhode Island,PROVIDENCE,united natural foods
941,UNITED PARCEL SERVICE INC,,12,3,25%,Industrials,Georgia,ATLANTA,united parcel service
942,UNITED RENTALS INC /DE,,9,2,22%,Industrials,Connecticut,STAMFORD,united rentals de
943,UNITED SECURITY BANCSHARES,,10,1,10%,,,FRESNO,united security bancshares
944,United Services Automobile Association,,15,4,27%,Financial Services,Texas,San Antonio,united services automobile association
945,UNITED STATES CELLULAR CORP,,13,1,8%,Communication Services,Illinois,CHICAGO,united states cellular
946,UNITED STATES LIME & MINERALS INC,,5,0,0%,,,DALLAS,united states lime  minerals
947,UNITED STATES STEEL CORP,,12,3,25%,Basic Materials,Pennsylvania,PITTSBURGH,united states steel
948,UNITED TECHNOLOGIES CORP /DE/,,12,3,25%,Industrials,Connecticut,FARMINGTON,united technologies
949,UNITED THERAPEUTICS Corp,,10,3,30%,Healthcare,Maryland,SILVER SPRING,united therapeutics
950,UNITEDHEALTH GROUP INC,,9,2,22%,Healthcare,Minnesota,MINNETONKA,unitedhealth group
951,Uniti Group Inc.,,6,1,17%,,,LITTLE ROCK,uniti group
952,UNITIL CORP,,11,2,18%,,,HAMPTON,unitil
953,UNITY BANCORP INC /NJ/,,11,1,9%,,,CLINTON,unity bancorp nj
954,Univar Inc.,,11,1,9%,Basic Materials,Illinois,DOWNERS GROVE,univar
955,Universal American Corporation,,6,1,17%,Healthcare,New York,White Plains,universal american
956,UNIVERSAL CORP /VA/,,8,1,13%,Consumer Defensive,Virginia,RICHMOND,universal va
957,UNIVERSAL DISPLAY CORP \PA\,,8,2,25%,,,EWING,universal display pa
958,UNIVERSAL ELECTRONICS INC,,7,0,0%,Technology,California,SANTA ANA,universal electronics
959,UNIVERSAL FOREST PRODUCTS INC,,9,1,11%,Basic Materials,Michigan,GRAND RAPIDS,universal forest products
960,UNIVERSAL HEALTH REALTY INCOME TRUST,,6,0,0%,,,KING OF PRUSSIA,universal health realtyome trust
961,UNIVERSAL HEALTH SERVICES INC,,7,1,14%,Healthcare,Pennsylvania,KING OF PRUSSIA,universal health services
962,UNIVERSAL INSURANCE HOLDINGS INC.,,10,1,10%,Financial Services,Florida,FORT LAUDERDALE,universal insurance holdings
963,UNIVERSAL LOGISTICS HOLDINGS INC.,,11,0,0%,,,WARREN,universal logistics holdings
964,Universal Security Instruments Inc.,,4,0,0%,Technology,Maryland,Owings Mills,universal security instruments
965,UNIVEST CORP OF PENNSYLVANIA,,15,1,7%,,,SOUDERTON,univest of pennsylvania
966,Univision Communications Inc.,,18,1,6%,Consumer Cyclical,New York,New York,univisionmmunications
967,Unum Group,,11,3,27%,Financial Services,Tennessee,CHATTANOOGA,unum group
968,UPLAND SOFTWARE INC.,,5,0,0%,,,AUSTIN,upland software
969,URANIUM ENERGY CORP,,6,0,0%,,,CORPUS CHRISTI,uranium energy
970,Urban Edge Properties,,7,1,14%,,,NEW YORK,urban edge properties
971,URBAN OUTFITTERS INC,,9,2,22%,Consumer Cyclical,Pennsylvania,PHILADELPHIA,urban outfitters
972,URSTADT BIDDLE PROPERTIES INC,,10,1,10%,,,GREENWICH,urstadt biddle properties
973,US BANCORP \DE\,,15,4,27%,Financial Services,Minnesota,MINNEAPOLIS,us bancorp de
974,US CONCRETE INC,,7,0,0%,,,EULESS,usncrete
975,US ECOLOGY INC.,,6,1,17%,,,BOISE,us ecology
976,US Foods Holding Corp.,,11,0,0%,Consumer Defensive,Illinois,ROSEMONT,us foods holding
977,USA TECHNOLOGIES INC,,7,0,0%,,,MALVERN,usa technologies
978,USANA HEALTH SCIENCES INC,,7,0,0%,,,SALT LAKE CITY,usana health sciences
979,USG CORP,,9,2,22%,Basic Materials,Illinois,CHICAGO,usg
980,UTAH MEDICAL PRODUCTS INC,,5,1,20%,,,MIDVALE,utah medical products
981,V F CORP,,13,3,23%,Consumer Cyclical,North Carolina,GREENSBORO,v f
982,VAIL RESORTS INC,,9,3,33%,,,BROOMFIELD,vail resorts
983,VALERO ENERGY CORP/TX,,11,4,36%,Energy,Texas,SAN ANTONIO,valero energytx
984,VALHI INC /DE/,,6,3,50%,Basic Materials,Texas,DALLAS,valhi
985,VALIDUS HOLDINGS LTD,,11,3,27%,Financial Services,,PEMBROKE,validus holdings
986,VALLEY NATIONAL BANCORP,,12,2,17%,,,WAYNE,valley national bancorp
987,VALMONT INDUSTRIES INC,,9,1,11%,Industrials,Nebraska,OMAHA,valmont industries
988,Valspar Corporation,,11,2,18%,Basic Materials,Minnesota,Minneapolis,valspar
989,VALUE LINE INC,,6,1,17%,,,NEW YORK,value line
990,VALVOLINE INC,,8,1,13%,,,LEXINGTON,valvoline
991,Vanda Pharmaceuticals Inc.,,6,0,0%,Healthcare,Washington,WASHINGTON,vanda pharmaceuticals
992,Vantiv Inc.,,11,1,9%,Industrials,Ohio,CINCINNATI,vantiv
993,VARIAN MEDICAL SYSTEMS INC,,10,3,30%,Healthcare,California,PALO ALTO,varian medical systems
994,VARONIS SYSTEMS INC,,9,2,22%,,,NEW YORK,varonis systems
995,VASCO DATA SECURITY INTERNATIONAL INC,,5,1,20%,,,OAKBROOK TERRACE,vasco data security international
996,VBI VACCINES INC/BC,,7,0,0%,,,CAMBRIDGE,vbi vaccinesbc
997,VCA INC,,5,0,0%,Healthcare,California,LOS ANGELES,vca
998,VECTOR GROUP LTD,,7,1,14%,Consumer Defensive,Florida,MIAMI,vector group
999,VECTREN CORP,,10,2,20%,Utilities,Indiana,EVANSVILLE,vectren
1000,Vectrus Inc.,,9,1,11%,,,COLORADO SPRINGS,vectrus
1001,VEECO INSTRUMENTS INC,,7,1,14%,,,PLAINVIEW,veeco instruments
1002,VEEVA SYSTEMS INC,,6,0,0%,,,PLEASANTON,veeva systems
1003,VENTAS INC,,10,3,30%,Real Estate,Illinois,CHICAGO,ventas
1004,Vera Bradley Inc.,,11,4,36%,,,ROANOKE,vera bradley
1005,VERACYTE INC.,,9,3,33%,,,SOUTH SAN FRANCISCO,veracyte
1006,VEREIT Inc.,,8,2,25%,,,PHOENIX,vereit
1007,VERIFONE SYSTEMS INC.,,8,2,25%,Industrials,California,SAN JOSE,verifone systems
1008,VERINT SYSTEMS INC,,8,1,13%,,,MELVILLE,verint systems
1009,VERISIGN INC/CA,,7,2,29%,Technology,Virginia,RESTON,verisignca
1010,Verisk Analytics Inc.,,13,3,23%,Industrials,New Jersey,JERSEY CITY,verisk analytics
1011,Veritex Holdings Inc.,,12,1,8%,,,DALLAS,veritex holdings
1012,Veritiv Corp,,8,3,38%,Industrials,Georgia,ATLANTA,veritiv
1013,Veritone Inc.,,8,0,0%,,,NEWPORT BEACH,veritone
1014,VERIZON COMMUNICATIONS INC,,12,4,33%,Communication Services,New York,NEW YORK CITY,verizonmmunications
1015,Versar Inc.,,8,1,13%,Industrials,Virginia,Springfield,versar
1016,Versartis Inc.,,8,0,0%,,,MENLO PARK,versartis
1017,Verso Corporation,,5,0,0%,Basic Materials,Tennessee,Memphis,verso
1018,Versum Materials Inc.,,7,1,14%,,,ALLENTOWN,versum materials
1019,VERTEX PHARMACEUTICALS INC / MA,,9,3,33%,Healthcare,Massachusetts,BOSTON,vertex pharmaceuticals  ma
1020,Viacom Inc.,,10,5,50%,Consumer Cyclical,New York,NEW YORK,viacom
1021,VIAD CORP,,7,1,14%,,,PHOENIX,viad
1022,VIASAT INC,,9,1,11%,Technology,California,CARLSBAD,viasat
1023,VIAVI SOLUTIONS INC.,,8,1,13%,,,MILPITAS,viavi solutions
1024,Vical Incorporated,,7,0,0%,Healthcare,California,San Diego,vicalorporated
1025,VICOR CORP,,9,0,0%,Technology,Massachusetts,ANDOVER,vicor
1026,ViewRay Inc.,,9,0,0%,,,OAKWOOD VILLAGE,viewray
1027,Village Bank and Trust Financial Corporation,,13,0,0%,Financial Services,Virginia,Midlothian,village bank and trust financial
1028,VILLAGE SUPER MARKET INC,,11,0,0%,,,SPRINGFIELD,village super market
1029,VirnetX Holding Corp,,5,0,0%,,,ZEPHYR COVE,virnetx holding
1030,Virtu Financial Inc.,,8,0,0%,,,NEW YORK,virtu financial
1031,VIRTUS INVESTMENT PARTNERS INC.,,8,3,38%,,,HARTFORD,virtus investment partners
1032,VIRTUSA CORP,,8,0,0%,Technology,Massachusetts,WESTBOROUGH,virtusa
1033,VISA INC.,,9,2,22%,Financial Services,California,SAN FRANCISCO,visa
1034,VISHAY INTERTECHNOLOGY INC,,10,1,10%,Technology,Pennsylvania,MALVERN,vishay intertechnology
1035,Vishay Precision Group Inc.,,6,1,17%,,,MALVERN,vishay precision group
1036,Vista Outdoor Inc.,,7,1,14%,Consumer Cyclical,Utah,FARMINGTON,vista outdoor
1037,VISTEON CORP,,10,2,20%,Consumer Cyclical,Mississippi,VAN BUREN TOWNSHIP,visteon
1038,Vitamin Shoppe Inc.,,10,2,20%,,,SECAUCUS,vitamin shoppe
1039,VIVEVE MEDICAL INC.,,6,4,67%,,,SUNNYVALE,viveve medical
1040,Vivint Solar Inc.,,8,0,0%,,,LEHI,vivint solar
1041,VMWARE INC.,,9,1,11%,Technology,California,PALO ALTO,vmware
1042,VOCERA COMMUNICATIONS INC.,,9,2,22%,Technology,California,SAN JOSE,vocerammunications
1043,Volt Information Sciences Inc.,,7,1,14%,Industrials,New York,New York,volt information sciences
1044,VONAGE HOLDINGS CORP,,9,1,11%,Communication Services,New Jersey,HOLMDEL,vonage holdings
1045,VORNADO REALTY TRUST,,10,2,20%,Real Estate,New York,NEW YORK,vornado realty trust
1046,VOXX International Corp,,8,1,13%,,,ORLANDO,voxx international
1047,Voya Financial Inc.,,10,4,40%,Financial Services,New York,NEW YORK,voya financial
1048,Voyager Therapeutics Inc.,,8,1,13%,,,CAMBRIDGE,voyager therapeutics
1049,VSE CORP,,9,1,11%,Industrials,Virginia,ALEXANDRIA,vse
1050,vTv Therapeutics Inc.,,7,0,0%,,,HIGH POINT,vtv therapeutics
1051,Vulcan Materials CO,,9,2,22%,Basic Materials,Alabama,BIRMINGHAM,vulcan materials
1052,VWR Corp,,9,1,11%,Healthcare,Pennsylvania,RADNOR,vwr
1053,W R GRACE & CO,,8,2,25%,Basic Materials,Maryland,COLUMBIA,w r grace 
1054,W&T OFFSHORE INC,,5,1,20%,,,HOUSTON,wt offshore
1055,W. P. Carey Inc.,,9,1,11%,,,NEW YORK,w p carey
1056,WABASH NATIONAL CORP /DE,,7,1,14%,Industrials,Indiana,LAFAYETTE,wabash national de
1057,WABCO Holdings Inc.,,9,1,11%,Consumer Cyclical,Michigan,BRUSSELS,wabco holdings
1058,WADDELL & REED FINANCIAL INC,,9,1,11%,Financial Services,Kansas,OVERLAND PARK,waddell  reed financial
1059,WAGEWORKS INC.,,7,1,14%,Industrials,California,SAN MATEO,wageworks
1060,WAL MART STORES INC,,11,2,18%,Consumer Defensive,Arkansas,BENTONVILLE,wal mart stores
1061,Walgreens Boots Alliance Inc.,,11,3,27%,Consumer Defensive,Illinois,DEERFIELD,walgreens boots alliance
1062,Walker & Dunlop Inc.,,8,1,13%,Financial Services,Maryland,BETHESDA,walker  dunlop
1063,WALT DISNEY CO/,,11,3,27%,Consumer Cyclical,California,BURBANK,walt disney
1064,Walter Investment Management,,11,1,9%,Financial Services,Florida,Tampa,walter investment management
1065,Warner Music Group,,11,0,0%,Consumer Cyclical,New York,New York,warner music group
1066,WARRIOR MET COAL INC.,,9,0,0%,,,BROOKWOOD,warrior metal
1067,WASHINGTON FEDERAL INC,,8,3,38%,,,SEATTLE,washington federal
1068,WASHINGTON PRIME GROUP INC.,,7,2,29%,,,COLUMBUS,washington prime group
1069,WASHINGTON REAL ESTATE INVESTMENT TRUST,,8,1,13%,Real Estate,District of Columbia,WASHINGTON,washington real estate investment trust
1070,WASHINGTON TRUST BANCORP INC,,12,2,17%,,,WESTERLY,washington trust bancorp
1071,WashingtonFirst Bankshares Inc.,,21,3,14%,,,RESTON,washingtonfirst bankshares
1072,Waste Connections Inc.,,5,0,0%,Industrials,Texas,The Woodlands,wastennections
1073,WASTE MANAGEMENT INC,,9,2,22%,Industrials,Texas,HOUSTON,waste management
1074,WATERS CORP /DE/,,9,2,22%,Healthcare,Massachusetts,MILFORD,waters
1075,Waterstone Financial Inc.,,7,2,29%,,,WAUWATOSA,waterstone financial
1076,WATSCO INC,,9,1,11%,Technology,Florida,MIAMI,watsco
1077,WATTS WATER TECHNOLOGIES INC,,9,1,11%,Industrials,Massachusetts,NORTH ANDOVER,watts water technologies
1078,WAVE LIFE SCIENCES LTD.,,7,0,0%,,,CAMBRIDGE,wave life sciences
1079,Wayfair Inc.,,9,1,11%,Consumer Cyclical,Massachusetts,BOSTON,wayfair
1080,WCI Communities,,7,1,14%,Consumer Cyclical,Florida,Bonita Springs,wcimmunities
1081,WD 40 CO,,10,2,20%,Basic Materials,California,SAN DIEGO,wd 40
1082,Weatherford International plc,,9,0,0%,,,BAAR,weatherford international plc
1083,WEB.COM GROUP INC.,,8,1,13%,Technology,Florida,JACKSONVILLE,webcom group
1084,WebMD Health Corp.,,10,1,10%,Technology,New York,NEW YORK,webmd health
1085,WEBSTER FINANCIAL CORP,,10,3,30%,,,WATERBURY,webster financial
1086,WEC ENERGY GROUP INC.,,13,3,23%,Utilities,Wisconsin,MILWAUKEE,wec energy group
1087,WEIGHT WATCHERS INTERNATIONAL INC,,10,2,20%,Consumer Cyclical,New York,NEW YORK,weight watchers international
1088,WEINGARTEN REALTY INVESTORS /TX/,,9,1,11%,,,HOUSTON,weingarten realty investors tx
1089,WEIS MARKETS INC,,5,0,0%,Consumer Defensive,Pennsylvania,SUNBURY,weis markets
1090,Welbilt Inc.,,7,2,29%,,,NEW PORT RICHEY,welbilt
1091,WELLCARE HEALTH PLANS INC.,,9,1,11%,Healthcare,Florida,TAMPA,wellcare health plans
1092,WELLS FARGO AND COMPANY,,16,5,31%,Financial Services,California,SAN FRANCISCO,wells fargo andmpany
1093,WELLTOWER INC.,,10,2,20%,Real Estate,Ohio,TOLEDO,welltower
1094,Wendy's Co,,11,1,9%,Consumer Cyclical,Ohio,DUBLIN,wendys
1095,WERNER ENTERPRISES INC,,8,1,13%,Industrials,Nebraska,OMAHA,werner enterprises
1096,WESBANCO INC,,17,4,24%,,,WHEELING,wesbanco
1097,Wesco Aircraft Holdings Inc,,11,1,9%,Industrials,California,VALENCIA,wesco aircraft holdings
1098,WESCO INTERNATIONAL INC,,8,2,25%,Industrials,Pennsylvania,PITTSBURGH,wesco international
1099,WEST BANCORPORATION INC,,13,3,23%,,,WEST DES MOINES,west bancorporation
1100,WEST CORP,,10,3,30%,Communication Services,Nebraska,OMAHA,west
1101,WEST MARINE INC,,8,3,38%,Consumer Cyclical,California,WATSONVILLE,west marine
1102,WEST PHARMACEUTICAL SERVICES INC,,10,2,20%,,,EXTON,west pharmaceutical services
1103,WESTAMERICA BANCORPORATION,,9,2,22%,Financial Services,California,SAN RAFAEL,westamerica bancorporation
1104,WESTAR ENERGY INC /KS,,9,2,22%,Utilities,Kansas,TOPEKA,westar energy ks
1105,WESTERN ALLIANCE BANCORPORATION,,14,1,7%,,,PHOENIX,western alliance bancorporation
1106,Western and Southern Financial Group Inc.,,10,2,20%,Financial Services,Ohio,Cincinnati,western and southern financial group
1107,Western Asset Mortgage Capital Corp,,6,1,17%,Real Estate,California,PASADENA,western asset mortgage capital
1108,WESTERN DIGITAL CORP,,9,2,22%,Technology,California,IRVINE,western digital
1109,Western New England Bancorp Inc.,,14,3,21%,,,WESTFIELD,western new england bancorp
1110,Western Refining Inc.,,8,0,0%,Energy,Texas,El Paso,western refining
1111,Western Union CO,,10,2,20%,Financial Services,Colorado,ENGLEWOOD,western union
1112,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,,12,1,8%,Industrials,Pennsylvania,WILMERDING,westinghouse air brake technologies
1113,WESTLAKE CHEMICAL CORP,,8,1,13%,Basic Materials,Texas,HOUSTON,westlake chemical
1114,WESTMORELAND COAL Co,,10,1,10%,,,ENGLEWOOD,westmorelandal
1115,WestRock Co,,12,2,17%,Consumer Cyclical,Virginia,RICHMOND,westrock
1116,WESTWOOD HOLDINGS GROUP INC,,8,2,25%,,,DALLAS,westwood holdings group
1117,WEX Inc.,,10,2,20%,,,SOUTH PORTLAND,wex
1118,WEYCO GROUP INC,,7,1,14%,,,MILWAUKEE,weyco group
1119,WEYERHAEUSER CO,,11,3,27%,Basic Materials,Washington,SEATTLE,weyerhaeuser
1120,WGL HOLDINGS INC,,9,4,44%,Utilities,District of Columbia,WASHINGTON,wgl holdings
1121,WHIRLPOOL CORP /DE/,,13,2,15%,Technology,Michigan,BENTON HARBOR,whirlpool
1122,WHITE MOUNTAINS INSURANCE GROUP LTD,,7,1,14%,Financial Services,New Hampshire,HANOVER,white mountains insurance group
1123,Whitestone REIT,,5,0,0%,,,HOUSTON,whitestone reit
1124,WHITING PETROLEUM CORP,,7,1,14%,Energy,Colorado,DENVER,whiting petroleum
1125,WILDHORSE RESOURCE DEVELOPMENT CORP,,8,0,0%,,,HOUSTON,wildhorse resource development
1126,WILEY JOHN & SONS INC.,,11,3,27%,,,HOBOKEN,wiley john  sons
1127,Willbros Group Inc.\NEW\,,7,0,0%,Energy,Texas,HOUSTON,willbros groupnew
1128,Willdan Group Inc.,,9,0,0%,,,ANAHEIM,willdan group
1129,WILLIAM LYON HOMES,,8,1,13%,Consumer Cyclical,California,NEWPORT BEACH,william lyon homes
1130,WILLIAMS COMPANIES INC,,11,2,18%,Energy,Oklahoma,TULSA,williamsmpanies
1131,WILLIAMS SONOMA INC,,9,5,56%,Consumer Cyclical,California,SAN FRANCISCO,williams sonoma
1132,WILLIS LEASE FINANCE CORP,,5,0,0%,,,NOVATO,willis lease finance
1133,WILLIS TOWERS WATSON PLC,,11,3,27%,,,LONDON,willis towers watson plc
1134,Wilshire Bancorp Inc.,,8,1,13%,Financial Services,California,Los Angeles,wilshire bancorp
1135,WINDSTREAM HOLDINGS INC.,,12,3,25%,Communication Services,Arkansas,LITTLE ROCK,windstream holdings
1136,Wingstop Inc.,,6,1,17%,,,DALLAS,wingstop
1137,WINMARK CORP,,8,1,13%,,,MINNEAPOLIS,winmark
1138,WINNEBAGO INDUSTRIES INC,,7,1,14%,,,FOREST CITY,winnebago industries
1139,WINTRUST FINANCIAL CORP,,12,3,25%,,,ROSEMONT,wintrust financial
1140,WisdomTree Investments Inc.,,8,0,0%,,,NEW YORK,wisdomtree investments
1141,WMIH CORP.,,7,1,14%,,,SEATTLE,wmih
1142,WOLVERINE WORLD WIDE INC /DE/,,11,3,27%,Consumer Cyclical,Michigan,ROCKFORD,wolverine world wide
1143,Woodard & Curran Inc.,,9,2,22%,Industrials,Maine,Portland,woodard  curran
1144,Woodward Inc.,,9,1,11%,Industrials,Colorado,FORT COLLINS,woodward
1145,Workday Inc.,,9,1,11%,Technology,California,PLEASANTON,workday
1146,WORKIVA INC,,7,0,0%,,,AMES,workiva
1147,WORLD ACCEPTANCE CORP,,6,1,17%,,,GREENVILLE,world acceptance
1148,WORLD FUEL SERVICES CORP,,8,0,0%,Energy,Florida,MIAMI,world fuel services
1149,WORLD WRESTLING ENTERTAINMENTINC,,9,3,33%,,,STAMFORD,world wrestling entertainmentinc
1150,WORTHINGTON INDUSTRIES INC,,10,2,20%,Basic Materials,Ohio,COLUMBUS,worthington industries
1151,WPX ENERGY INC.,,11,1,9%,Energy,Oklahoma,TULSA,wpx energy
1152,Wright Medical Group N.V.,,8,2,25%,,,AMSTERDAM,wright medical group nv
1153,WSFS FINANCIAL CORP,,10,2,20%,,,WILMINGTON,wsfs financial
1154,WYNDHAM WORLDWIDE CORP,,8,3,38%,Consumer Cyclical,New Jersey,PARSIPPANY,wyndham worldwide
1155,WYNN RESORTS LTD,,10,1,10%,Consumer Cyclical,Nevada,LAS VEGAS,wynn resorts
1156,Xactly Corp,,7,2,29%,,,SAN JOSE,xactly
1157,XBiotech Inc.,,4,0,0%,,,AUSTIN,xbiotech
1158,XCEL ENERGY INC,,12,3,25%,Utilities,Minnesota,MINNEAPOLIS,xcel energy
1159,Xcerra Corp,,6,0,0%,,,NORWOOD,xcerra
1160,Xencor Inc,,5,0,0%,,,MONROVIA,xencor
